molec_id,local_iso_id,nu,sw,a,gamma_air,gamma_self,elower,n_air,delta_air
7,1,9236.062499,1.353e-29,1.21e-07,0.0392,0.041,662.4359,0.81,0.0
7,1,9250.242538,2.122e-29,1.197e-07,0.0416,0.042,544.8622,0.81,0.0
7,1,9264.140418,3.097e-29,1.181e-07,0.0438,0.043,438.701,0.83,0.0
7,1,9273.810431,1.046e-29,2.778e-07,0.0333,0.037,931.7431,0.79,0.0
7,1,9277.75534,4.18e-29,1.158e-07,0.0459,0.045,343.9694,0.83,0.0
7,1,9281.209215,1.675e-29,2.475e-07,0.0356,0.038,793.2087,0.8,0.0
7,1,9283.014798,1.902e-29,2.786e-07,0.0356,0.038,791.4031,0.8,0.0
7,1,9290.103968,2.827e-29,2.454e-07,0.038,0.04,664.2595,0.8,0.0
7,1,9291.086497,5.173e-29,1.126e-07,0.0478,0.047,260.6824,0.84,0.0
7,1,9291.927602,3.248e-29,2.796e-07,0.038,0.04,662.4359,0.8,0.0
7,1,9298.70717,4.459e-29,2.427e-07,0.0404,0.041,546.7042,0.81,0.0
7,1,9300.549157,5.195e-29,2.803e-07,0.0404,0.041,544.8622,0.81,0.0
7,1,9304.133179,5.786e-29,1.078e-07,0.0496,0.048,188.8531,0.84,0.0
7,1,9307.018954,6.554e-29,2.391e-07,0.0427,0.043,440.5618,0.83,0.0
7,1,9308.879701,7.767e-29,2.81e-07,0.0427,0.043,438.701,0.83,0.0
7,1,9315.039339,8.934e-29,2.345e-07,0.0449,0.044,345.8495,0.83,0.0
7,1,9316.895014,5.69e-29,1.004e-07,0.0513,0.05,128.492,0.84,0.0
7,1,9316.919419,1.082e-28,2.815e-07,0.0449,0.044,343.9694,0.83,0.0
7,1,9322.768234,1.122e-28,2.283e-07,0.0469,0.046,262.5827,0.85,0.0
7,1,9324.668488,1.398e-28,2.819e-07,0.0469,0.046,260.6824,0.85,0.0
7,1,9329.372664,4.62e-29,8.791e-08,0.0533,0.053,79.607,0.84,0.0
7,1,9330.205438,1.282e-28,2.194e-07,0.0487,0.047,190.7748,0.84,0.0
7,1,9332.127184,1.662e-28,2.819e-07,0.0487,0.047,188.8531,0.84,0.0
7,1,9337.350641,1.308e-28,2.065e-07,0.0504,0.049,130.4375,0.84,0.0
7,1,9337.779823,1.113e-29,5.63e-07,0.0303,0.035,1085.2033,0.78,0.0
7,1,9339.296116,1.796e-28,2.81e-07,0.0504,0.049,128.492,0.84,0.0
